No.;Time;;;;;time 2;time 1;delay;;delay 2;delay 1;jitter
817;10,434748;10,434748;;;;10,434748;10,434748;0;;0,026981;0;0,026981
818;10,434748;10,434748;;;;10,461729;10,434748;0,026981;;0;0,026981;-0,026981
828;10,461729;10,461729;;;;10,461729;10,461729;0;;0;0;0
829;10,461729;10,461729;;;;10,461729;10,461729;0;;0;0;0
830;10,461729;10,461729;;;;10,461729;10,461729;0;;0,00054;0;0,00054
831;10,461729;10,461729;;;;10,462269;10,461729;0,00054;;0,000186;0,00054;-0,000354
832;10,462269;10,462269;;;;10,462455;10,462269;0,000186;;0,000455;0,000186;0,000269
833;10,462455;10,462455;;;;10,46291;10,462455;0,000455;;0;0,000455;-0,000455
835;10,46291;10,46291;;;;10,46291;10,46291;0;;0,019553;0;0,019553
836;10,46291;10,46291;;;;10,482463;10,46291;0,019553;;0;0,019553;-0,019553
845;10,482463;10,482463;;;;10,482463;10,482463;0;;0,012962;0;0,012962
846;10,482463;10,482463;;;;10,495425;10,482463;0,012962;;0;0,012962;-0,012962
847;10,495425;10,495425;;;;10,495425;10,495425;0;;0,000176;0;0,000176
848;10,495425;10,495425;;;;10,495601;10,495425;0,000176;;0,001101;0,000176;0,000925
849;10,495601;10,495601;;;;10,496702;10,495601;0,001101;;0;0,001101;-0,001101
850;10,496702;10,496702;;;;10,496702;10,496702;0;;0,00017;0;0,00017
851;10,496702;10,496702;;;;10,496872;10,496702;0,00017;;0,0018;0,00017;0,00163
852;10,496872;10,496872;;;;10,498672;10,496872;0,0018;;0,016996;0,0018;0,015196
853;10,498672;10,498672;;;;10,515668;10,498672;0,016996;;0,011884;0,016996;-0,005112
862;10,515668;10,515668;;;;10,527552;10,515668;0,011884;;0,015439;0,011884;0,003555
872;10,527552;10,527552;;;;10,542991;10,527552;0,015439;;0;0,015439;-0,015439
881;10,542991;10,542991;;;;10,542991;10,542991;0;;0,002338;0;0,002338
882;10,542991;10,542991;;;;10,545329;10,542991;0,002338;;0,035393;0,002338;0,033055
883;10,545329;10,545329;;;;10,580722;10,545329;0,035393;;0;0,035393;-0,035393
886;10,580722;10,580722;;;;10,580722;10,580722;0;;0;0;0
887;10,580722;10,580722;;;;10,580722;10,580722;0;;0,000183;0;0,000183
888;10,580722;10,580722;;;;10,580905;10,580722;0,000183;;0,000798;0,000183;0,000615
889;10,580905;10,580905;;;;10,581703;10,580905;0,000798;;0,02311;0,000798;0,022312
890;10,581703;10,581703;;;;10,604813;10,581703;0,02311;;0;0,02311;-0,02311
906;10,604813;10,604813;;;;10,604813;10,604813;0;;0,003038;0;0,003038
907;10,604813;10,604813;;;;10,607851;10,604813;0,003038;;0;0,003038;-0,003038
908;10,607851;10,607851;;;;10,607851;10,607851;0;;0;0;0
909;10,607851;10,607851;;;;10,607851;10,607851;0;;0,000943;0;0,000943
910;10,607851;10,607851;;;;10,608794;10,607851;0,000943;;0;0,000943;-0,000943
911;10,608794;10,608794;;;;10,608794;10,608794;0;;0,011794;0;0,011794
912;10,608794;10,608794;;;;10,620588;10,608794;0,011794;;0,002798;0,011794;-0,008996
916;10,620588;10,620588;;;;10,623386;10,620588;0,002798;;0,00282;0,002798;2,2E-05
918;10,623386;10,623386;;;;10,626206;10,623386;0,00282;;0,019143;0,00282;0,016323
926;10,626206;10,626206;;;;10,645349;10,626206;0,019143;;0,019871;0,019143;0,000728
